# ref_application_id 294775143974774
# ref_asset_id -13305
"id"	"title"	"link"	"image_link"	"price"	"availability"	"condition"	"description"	"google_product_category"	"brand"	"additional_image_link"	"color"	"size"	"item_group_id"	"product_type"	"shipping"	"shipping_size"	"custom_label_0"	"custom_label_1"	"custom_label_2"	"custom_label_3"
"3032"	"Reebok W Classic Leather Black"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/3032-reebok-w-classic-leather-black.html"	"https://www.footshop.cz/Feeds/Crop.php?img=18576"	"2440.00 CZK"	"in stock"	"new"	"Reebok W Classic Leather Black si můžete vybrat ve Footshopu jenom za 2440 Kč. Značka: Reebok Classic, Barva: Černá, Dostupné velikosti: 36,37,37.5,38,38.5,40,40.5"	"187"	"Reebok Classic"	"https://www.footshop.cz/Feeds/Crop.php?img=18577,https://www.footshop.cz/Feeds/Crop.php?img=18578,https://www.footshop.cz/Feeds/Crop.php?img=18579,https://www.footshop.cz/Feeds/Crop.php?img=18580,https://www.footshop.cz/Feeds/Crop.php?img=18581,https://www.footshop.cz/Feeds/Crop.php?img=18582,https://www.footshop.cz/Feeds/Crop.php?img=18583"	"Černá"	"36,37,37.5,38,38.5,40,40.5"	"3032"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36,37,37.5,38,38.5,40,40.5"	""	""	""	"Dostupné velikosti: 36,37,37.5,38,38.5,40,40.5"
"4708"	"Converse Ct Hi White"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/4708-converse-ct-hi-white.html"	"https://www.footshop.cz/Feeds/Crop.php?img=162724"	"2390.00 CZK"	"in stock"	"new"	"Converse CT Hi White si můžete vybrat ve Footshopu jenom za 2390 Kč. Značka: Converse, Barva: Bílá, Dostupné velikosti: 36,36.5,37,37.5,38,39,39.5,40,41.5,42,43,44,44.5,45,46,46.5"	"187"	"Converse"	"https://www.footshop.cz/Feeds/Crop.php?img=162725,https://www.footshop.cz/Feeds/Crop.php?img=162726,https://www.footshop.cz/Feeds/Crop.php?img=162727,https://www.footshop.cz/Feeds/Crop.php?img=162728,https://www.footshop.cz/Feeds/Crop.php?img=162729"	"Bílá"	"36,36.5,37,37.5,38,39,39.5,40,41.5,42,43,44,44.5,45,46,46.5"	"4708"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36,36.5,37,37.5,38,39,39.5,40,41.5,42,43,44,44.5,45,46,46.5"	""	""	""	"Dostupné velikosti: 36,36.5,37,37.5,38,39,39.5,40,41.5,42,43,44,44.5,45,46,46.5"
"220"	"Vans Sk8-Hi Black"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/220-vans-sk8-hi-cerna-spring-13.html"	"https://www.footshop.cz/Feeds/Crop.php?img=196399"	"1890.00 CZK"	"in stock"	"new"	"Vans Sk8-Hi Black si můžete vybrat ve Footshopu jenom za 1890 Kč. Značka: Vans, Barva: Černá, Dostupné velikosti: 34.5,35,36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47,48,49,50"	"187"	"Vans"	"https://www.footshop.cz/Feeds/Crop.php?img=196401,https://www.footshop.cz/Feeds/Crop.php?img=196402,https://www.footshop.cz/Feeds/Crop.php?img=196400,https://www.footshop.cz/Feeds/Crop.php?img=196403,https://www.footshop.cz/Feeds/Crop.php?img=196404"	"Černá"	"34.5,35,36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47,48,49,50"	"220"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"34.5,35,36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47,48,49,50"	"vans-sk8"	""	""	"Dostupné velikosti: 34.5,35,36,36.5,37,38,38.5,39,40,40.5,41,42,42.5,43,44,44.5,45,46,47,48,49,50"
"13643"	"adidas W Equipment Racing 91/16 Core Black/ Core Black/ Turbo"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/13643-adidas-w-equipment-racing-9116-core-black-core-black-turbo.html"	"https://www.footshop.cz/Feeds/Crop.php?img=78579"	"1540.00 CZK"	"in stock"	"new"	"adidas W Equipment Racing 91/16 Core Black/ Core Black/ Turbo si můžete vybrat ve Footshopu jenom za 1540 Kč. Značka: adidas Originals, Barva: Černá, Dostupné velikosti: 36 2/3,37 1/3,38,38 2/3,39 1/3,41 1/3"	"187"	"adidas Originals"	"https://www.footshop.cz/Feeds/Crop.php?img=78580,https://www.footshop.cz/Feeds/Crop.php?img=78581,https://www.footshop.cz/Feeds/Crop.php?img=78582,https://www.footshop.cz/Feeds/Crop.php?img=78583,https://www.footshop.cz/Feeds/Crop.php?img=78584,https://www.footshop.cz/Feeds/Crop.php?img=78585"	"Černá"	"36 2/3,37 1/3,38,38 2/3,39 1/3,41 1/3"	"13643"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36 2/3,37 1/3,38,38 2/3,39 1/3,41 1/3"	"adidas-equipment"	"3790 Kč"	"59"	"Dostupné velikosti: 36 2/3,37 1/3,38,38 2/3,39 1/3,41 1/3"
"14073"	"Reebok 58 Bright St Club C Shroud White/ Scarlet/ Snow Grey"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/14073-reebok-58-bright-st-club-c-shroud-white-scarlet-snow-grey.html"	"https://www.footshop.cz/Feeds/Crop.php?img=80961"	"2590.00 CZK"	"in stock"	"new"	"Reebok 58 Bright St Club C Shroud White/ Scarlet/ Snow Grey si můžete vybrat ve Footshopu jenom za 2590 Kč. Značka: Reebok Classic, Barva: Hnědá, Dostupné velikosti: 37.5,40.5,42,43,44.5"	"187"	"Reebok Classic"	"https://www.footshop.cz/Feeds/Crop.php?img=80962,https://www.footshop.cz/Feeds/Crop.php?img=80963,https://www.footshop.cz/Feeds/Crop.php?img=80964,https://www.footshop.cz/Feeds/Crop.php?img=80965,https://www.footshop.cz/Feeds/Crop.php?img=80966,https://www.footshop.cz/Feeds/Crop.php?img=80967"	"Hnědá"	"37.5,40.5,42,43,44.5"	"14073"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"37.5,40.5,42,43,44.5"	""	"4290 Kč"	"40"	"Dostupné velikosti: 37.5,40.5,42,43,44.5"
"15631"	"Nike Stefan Janoski Max (Gs) Black/ White"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/15631-nike-stefan-janoski-max-gs-black-white.html"	"https://www.footshop.cz/Feeds/Crop.php?img=89068"	"2390.00 CZK"	"in stock"	"new"	"Nike Stefan Janoski Max (GS) Black/ White si můžete vybrat ve Footshopu jenom za 2390 Kč. Značka: Nike, Barva: Černá, Dostupné velikosti: 36,36.5,37.5,38"	"187"	"Nike"	"https://www.footshop.cz/Feeds/Crop.php?img=89069,https://www.footshop.cz/Feeds/Crop.php?img=89070,https://www.footshop.cz/Feeds/Crop.php?img=89071,https://www.footshop.cz/Feeds/Crop.php?img=89072,https://www.footshop.cz/Feeds/Crop.php?img=89073"	"Černá"	"36,36.5,37.5,38"	"15631"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36,36.5,37.5,38"	"nike-stefan-janoski"	""	""	"Dostupné velikosti: 36,36.5,37.5,38"
"22237"	"Nike W Air Footscape Mid Light Bone/ Anthracite"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/22237-nike-w-air-footscape-mid-light-bone-anthracite.html"	"https://www.footshop.cz/Feeds/Crop.php?img=125587"	"4290.00 CZK"	"in stock"	"new"	"Nike W Air Footscape Mid Light Bone/ Anthracite si můžete vybrat ve Footshopu jenom za 4290 Kč. Značka: Nike, Barva: Šedá, Dostupné velikosti: 36,38,38.5,40"	"187"	"Nike"	"https://www.footshop.cz/Feeds/Crop.php?img=125589,https://www.footshop.cz/Feeds/Crop.php?img=125590,https://www.footshop.cz/Feeds/Crop.php?img=125588,https://www.footshop.cz/Feeds/Crop.php?img=125591,https://www.footshop.cz/Feeds/Crop.php?img=125592"	"Šedá"	"36,38,38.5,40"	"22237"	"Dámské tenisky a boty"	"CZ::GLS:0 CZK"	"36,38,38.5,40"	"nike-footscape"	""	""	"Dostupné velikosti: 36,38,38.5,40"
"22266"	"adidas Consortium x Xhibition Terrex Tracefinder Core Black/ Core Black/ Core Black"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/22266-adidas-consortium-x-xhibition-terrex-tracefinder-core-black-core-black-core-black.html"	"https://www.footshop.cz/Feeds/Crop.php?img=124952"	"3790.00 CZK"	"in stock"	"new"	"adidas Consortium x Xhibition Terrex Tracefinder Core Black/ Core Black/ Core Black si můžete vybrat ve Footshopu jenom za 3790 Kč. Značka: adidas Consortium, Barva: Černá, Dostupné velikosti: 39 1/3,43 1/3,47 1/3,48"	"187"	"adidas Consortium"	"https://www.footshop.cz/Feeds/Crop.php?img=124954,https://www.footshop.cz/Feeds/Crop.php?img=124955,https://www.footshop.cz/Feeds/Crop.php?img=124953,https://www.footshop.cz/Feeds/Crop.php?img=124956,https://www.footshop.cz/Feeds/Crop.php?img=124958,https://www.footshop.cz/Feeds/Crop.php?img=124957"	"Černá"	"39 1/3,43 1/3,47 1/3,48"	"22266"	"Pánské tenisky a boty"	"CZ::GLS:0 CZK"	"39 1/3,43 1/3,47 1/3,48"	""	"7290 Kč"	"48"	"Dostupné velikosti: 39 1/3,43 1/3,47 1/3,48"
"22501"	"Superga 2750 Fabric Synthetic Zebra W Brown-Bronze"	"https://www.footshop.cz/cs/damske-tenisky-a-boty/22501-superga-2750-fabric-synthetic-zebra-w-brown-bronze.html"	"https://www.footshop.cz/Feeds/Crop.php?img=126323"	"879.00 CZK"	"in stock"	"new"	"Superga 2750 Fabric Synthetic Zebra W Brown-Bronze si můžete vybrat ve Footshopu jenom za 879 Kč. Značka: Superga, Barva: Hnědá, Dostupné velikosti: 36,37,38,39,40,41"	"187"	"Superga"	"https://www.footshop.cz/Feeds/Crop.php?img=126324,https://www.footshop.cz/Feeds/Crop.php?img=126325,https://www.footshop.cz/Feeds/Crop.php?img=126326,https://www.footshop.cz/Feeds/Crop.php?img=126327,https://www.footshop.cz/Feeds/Crop.php?img=126328"	"Hnědá"	"36,37,38,39,40,41"	"22501"	"Dámské tenisky a boty"	"CZ::GLS:69 CZK"	"36,37,38,39,40,41"	""	"1790 Kč"	"51"	"Dostupné velikosti: 36,37,38,39,40,41"
"23119"	"adidas Day One CrazyTrain Talc"	"https://www.footshop.cz/cs/panske-tenisky-a-boty/23119-adidas-day-one-crazytrain-talc.html"	"https://www.footshop.cz/Feeds/Crop.php?img=129308"	"2490.00 CZK"	"in stock"	"new"	"adidas Day One CrazyTrain Talc si můžete vybrat ve Footshopu jenom za 2490 Kč. Značka: adidas Originals, Barva: Hnědá, Dostupné velikosti: 37 1/3,38,38 2/3,39 1/3,40,40 2/3,41 1/3,42,43 1/3,44,44 2/3,45 1/3,46"	"187"	"adidas Originals"	"https://www.footshop.cz/Feeds/Crop.php?img=129310,https://www.footshop.cz/Feeds/Crop.php?img=129311,https://www.footshop.cz/Feeds/Crop.php?img=129309,https://www.footshop.cz/Feeds/Crop.php?img=129312,https://www.footshop.cz/Feeds/Crop.php?img=129313,https://www.footshop.cz/Feeds/Crop.php?img=129314,https://www.footshop.cz/Feeds/Crop.php?img=129315"	"Hnědá"	"37 1/3,38,38 2/3,39 1/3,40,40 2/3,41 1/3,42,43 1/3,44,44 2/3,45 1/3,46"	"23119"	"Pánské tenisky a boty"	"CZ::GLS:69 CZK"	"37 1/3,38,38 2/3,39 1/3,40,40 2/3,41 1/3,42,43 1/3,44,44 2/3,45 1/3,46"	"adidas-crazy"	"4890 Kč"	"49"	"Dostupné velikosti: 37 1/3,38,38 2/3,39 1/3,40,40 2/3,41 1/3,42,43 1/3,44,44 2/3,45 1/3,46"
